iter	Passed	Remaining
0	145	14422
1	147	7226
2	148	4793
3	148	3575
4	149	2843
5	150	2356
6	151	2007
7	151	1745
8	152	1541
9	153	1378
10	153	1244
11	154	1133
12	155	1038
13	156	959
14	156	889
15	157	827
16	158	773
17	159	724
18	159	680
19	160	641
20	161	605
21	161	573
22	162	544
23	163	516
24	163	491
25	164	468
26	165	447
27	166	427
28	166	408
29	167	391
30	168	374
31	168	358
32	169	344
33	170	331
34	171	319
35	172	306
36	173	294
37	173	283
38	174	273
39	175	263
40	176	253
41	176	244
42	177	235
43	178	227
44	179	218
45	179	210
46	180	203
47	181	196
48	181	189
49	182	182
50	183	176
51	184	169
52	184	163
53	185	158
54	186	152
55	186	146
56	187	141
57	188	136
58	189	131
59	189	126
60	190	121
61	191	117
62	192	112
63	192	108
64	193	104
65	194	100
66	195	96
67	195	92
68	196	88
69	197	84
70	197	80
71	198	77
72	199	73
73	200	70
74	200	66
75	201	63
76	202	60
77	202	57
78	203	54
79	204	51
80	204	48
81	205	45
82	206	42
83	207	39
84	207	36
85	208	33
86	209	31
87	210	28
88	211	26
89	211	23
90	212	21
91	213	18
92	213	16
93	214	13
94	215	11
95	216	9
96	216	6
97	217	4
98	218	2
99	218	0
