iter	Passed	Remaining
0	164	164774
1	166	83264
2	168	56000
3	169	42259
4	171	34060
5	171	28486
6	172	24502
7	173	21531
8	174	19211
9	175	17374
10	177	15996
11	179	14800
12	181	13764
13	182	12834
14	183	12042
15	184	11330
16	184	10695
17	185	10129
18	186	9629
19	187	9176
20	188	8782
21	190	8446
22	191	8153
23	194	7896
24	195	7631
25	196	7362
26	197	7111
27	198	6887
28	199	6673
29	200	6471
30	200	6282
31	201	6106
32	203	5960
33	206	5859
34	207	5729
35	208	5594
36	209	5456
37	210	5326
38	211	5203
39	211	5087
40	212	4978
41	213	4871
42	214	4768
43	215	4673
44	216	4584
45	217	4507
46	218	4436
47	220	4374
48	221	4297
49	222	4226
50	223	4153
51	223	4081
52	224	4013
53	225	3950
54	226	3886
55	226	3824
56	227	3768
57	228	3715
58	231	3689
59	232	3646
60	234	3605
61	235	3556
62	235	3508
63	236	3465
64	237	3419
65	238	3375
66	239	3332
67	240	3289
68	240	3249
69	241	3209
70	242	3171
71	243	3136
72	245	3115
73	246	3087
74	248	3062
75	249	3028
76	249	2995
77	250	2964
78	251	2931
79	252	2898
80	252	2867
81	253	2837
82	253	2804
83	254	2775
84	255	2746
85	255	2718
86	256	2690
87	257	2664
88	258	2650
89	260	2633
90	261	2612
91	262	2593
92	263	2573
93	264	2552
94	265	2530
95	266	2508
96	267	2487
97	267	2466
98	268	2444
99	269	2423
100	269	2401
101	270	2381
102	271	2361
103	271	2341
104	273	2327
105	275	2320
106	276	2306
107	277	2295
108	278	2278
109	279	2261
110	280	2244
111	281	2229
112	281	2211
113	282	2194
114	283	2178
115	283	2162
116	284	2144
117	284	2129
118	285	2113
119	286	2098
120	287	2085
121	288	2073
122	290	2070
123	291	2060
124	293	2053
125	294	2041
126	295	2028
127	295	2014
128	296	2000
129	296	1987
130	297	1974
131	298	1960
132	298	1947
133	299	1935
134	300	1923
135	300	1911
136	302	1902
137	304	1899
138	305	1890
139	306	1880
140	307	1872
141	307	1860
142	308	1849
143	309	1838
144	309	1827
145	310	1817
146	311	1806
147	311	1795
148	312	1784
149	313	1774
150	313	1764
151	314	1754
152	315	1744
153	315	1735
154	317	1728
155	318	1724
156	320	1718
157	321	1711
158	322	1705
159	323	1696
160	323	1686
161	324	1677
162	325	1670
163	325	1661
164	326	1652
165	327	1643
166	327	1635
167	328	1626
168	329	1618
169	329	1609
170	330	1601
171	331	1596
172	333	1596
173	335	1590
174	336	1586
175	337	1578
176	337	1571
177	338	1564
178	339	1556
179	340	1549
180	340	1541
181	341	1534
182	341	1526
183	342	1519
184	343	1512
185	343	1504
186	344	1498
187	345	1492
188	347	1491
189	351	1497
190	352	1494
191	354	1493
192	356	1489
193	357	1483
194	357	1477
195	358	1471
196	359	1464
197	360	1461
198	362	1459
199	363	1455
200	365	1453
201	366	1447
202	367	1442
203	368	1436
204	369	1431
205	369	1424
206	370	1418
207	370	1412
208	371	1406
209	372	1400
210	372	1394
211	373	1388
212	374	1383
213	376	1381
214	377	1377
215	378	1374
216	379	1370
217	380	1364
218	381	1359
219	382	1354
220	382	1348
221	383	1343
222	383	1337
223	384	1332
224	385	1326
225	385	1321
226	386	1316
227	387	1310
228	387	1305
229	388	1300
230	390	1298
231	391	1296
232	392	1292
233	393	1289
234	394	1285
235	395	1280
236	396	1275
237	396	1270
238	397	1265
239	398	1261
240	398	1256
241	399	1251
242	400	1246
243	400	1241
244	401	1236
245	402	1232
246	402	1227
247	403	1223
248	406	1226
249	410	1231
250	411	1227
251	412	1224
252	413	1221
253	414	1217
254	415	1213
255	416	1209
256	416	1205
257	417	1200
258	418	1196
259	420	1197
260	422	1195
261	423	1192
262	424	1188
263	425	1185
264	425	1181
265	426	1177
266	427	1172
267	427	1168
268	428	1164
269	429	1160
270	429	1156
271	430	1152
272	431	1148
273	431	1144
274	432	1140
275	434	1138
276	436	1138
277	438	1138
278	439	1135
279	440	1131
280	440	1127
281	441	1124
